Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-01-29,25.352039121462305,25.352039121462305,25.225909573594336,25.334020614624023,1003200,0.0,0
1993-02-01,25.3520412647118,25.51420783996582,25.3520412647118,25.51420783996582,480500,0.0,0
1993-02-02,25.496186168366876,25.58627869899715,25.442130649988716,25.568260192871094,201300,0.0,0
1993-02-03,25.604307982047068,25.856567173988417,25.58628946833697,25.83854866027832,529400,0.0,0
1993-02-04,25.92863866885503,26.000712716579436,25.640342477957407,25.946657180786133,531500,0.0,0
1993-02-05,25.92862892150879,25.98268443698101,25.784480880249532,25.92862892150879,492100,0.0,0
1993-02-08,25.92862892150879,26.018721447295825,25.892591911193975,25.92862892150879,596100,0.0,0
1993-02-09,25.838534214348122,25.838534214348122,25.694386185258313,25.748441696166992,122100,0.0,0
1993-02-10,25.748447847399657,25.80250337122205,25.676373815636467,25.78448486328125,379600,0.0,0
1993-02-11,25.820527177526824,26.018730805546916,25.820527177526824,25.910619735717773,19500,0.0,0
1993-02-12,25.874580377954324,25.874580377954324,25.712413787841797,25.712413787841797,42500,0.0,0
1993-02-16,25.640347530822975,25.640347530822975,25.02771800443648,25.06375503540039,374800,0.0,0
1993-02-17,25.063741467153424,25.099778478608716,24.955630432787558,25.04572296142578,210900,0.0,0
1993-02-18,25.33402655637891,25.33402655637891,24.685360158064796,25.027711868286133,378100,0.0,0
1993-02-19,25.02769961829165,25.1177921295166,24.99166261380167,25.1177921295166,34900,0.0,0
1993-02-22,25.189872957111003,25.243928478478193,25.117798928621415,25.2078914642334,513600,0.0,0
1993-02-23,25.2799767615628,25.29799527671716,25.06375457971052,25.189884185791016,373700,0.0,0
1993-02-24,25.207893197819338,25.51420783996582,25.207893197819338,25.51420783996582,26300,0.0,0
1993-02-25,25.496186168366876,25.58627869899715,25.442130649988716,25.568260192871094,44500,0.0,0
1993-02-26,25.62232377913366,25.62232377913366,25.478175684736282,25.604305267333984,66200,0.0,0
1993-03-01,25.694402736429605,25.694402736429605,25.49619906875729,25.532236099243164,66500,0.0,0
1993-03-02,25.550249502953967,25.910619735717773,25.514212479677585,25.910619735717773,182400,0.0,0
1993-03-03,25.946654216734654,26.036746766098318,25.91061719698919,26.018728256225586,280100,0.0,0
1993-03-04,26.05475972157003,26.05475972157003,25.874574661254883,25.874574661254883,89500,0.0,0
1993-03-05,25.910624211060934,26.018735299563275,25.784494607808202,25.802513122558594,40000,0.0,0
1993-03-08,25.856577053747543,26.379114151000977,25.856577053747543,26.379114151000977,50800,0.0,0
1993-03-09,26.32503847850358,26.34305698533349,26.23494594435401,26.28900146484375,169300,0.0,0
1993-03-10,26.28900401406347,26.343059539794922,26.180892962600563,26.343059539794922,194400,0.0,0
1993-03-11,26.36107527571941,26.433149302447283,26.234945728945632,26.27098274230957,70900,0.0,0
1993-03-12,26.054766974181494,26.072785485228646,25.838544841615672,26.00071144104004,643600,0.0,0
1993-03-15,25.98269060858365,26.12683868408203,25.98269060858365,26.12683868408203,310800,0.0,0
1993-03-16,26.12683868408203,26.198912721831224,26.12683868408203,26.12683868408203,30800,0.0,0
1993-03-17,26.09079973801898,26.09079973801898,25.92863316506168,25.964670181274414,21800,0.0,0
1993-03-18,26.072783155770136,26.23494974070582,26.072783155770136,26.12683868408203,59300,0.0,0
1993-03-19,26.232126294201567,26.232126294201567,26.087297439575195,26.087297439575195,66900,0.213,0
1993-03-22,25.833835605799695,25.996767995745174,25.815732006916864,25.94245719909668,183400,0.0,0
1993-03-23,26.014880185671835,26.032983790533123,25.960569371087967,25.996776580810547,55200,0.0,0
1993-03-24,25.960569371087967,26.10539820997828,25.833844137058946,25.996776580810547,37200,0.0,0
1993-03-25,26.014898157614738,26.214037948661197,25.978690922879018,26.159727096557617,110100,0.0,0
1993-03-26,26.141594872843,26.15969847040037,25.996766092384036,26.014869689941406,101500,0.0,0
1993-03-29,26.032992306799834,26.25023563620289,26.032992306799834,26.123510360717773,87100,0.0,0
1993-03-30,26.15971563269372,26.1959228515625,26.12350841382494,26.1959228515625,56000,0.0,0
1993-03-31,26.268345911967806,26.340760373475643,26.177827835083008,26.177827835083008,111600,0.0,0
1993-04-01,26.21402268737327,26.21402268737327,26.032986619090305,26.087297439575195,129500,0.0,0
1993-04-02,25.870056310500935,25.870056310500935,25.544191360473633,25.544191360473633,59400,0.0,0
1993-04-05,25.74332812138438,25.74332812138438,25.59849927119375,25.670913696289062,172200,0.0,0
1993-04-06,25.725236042891396,25.725236042891396,25.526096284642414,25.5985107421875,129700,0.0,0
1993-04-07,25.63470933200441,25.68902015686035,25.58039850714847,25.68902015686035,28000,0.0,0
1993-04-08,25.797649496612873,25.797649496612873,25.5441989050672,25.652820587158203,180800,0.0,0
1993-04-12,25.906248104597182,26.032973287498777,25.87004090948244,26.014869689941406,348500,0.0,0
1993-04-13,25.99678987397088,26.159722401036156,25.978686259852516,26.069204330444336,146100,0.0,0
1993-04-14,26.08731561907475,26.10541923851894,26.014901141298,26.033004760742188,119600,0.0,0
1993-04-15,26.014901141298,26.08731561907475,25.92438304407706,26.033004760742188,148600,0.0,0
