Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1977-05-11,7.648633499746018,7.696288643568964,7.624806365881644,7.67246150970459,17108,0.0,0.0
1977-05-12,7.672464359905279,7.696291502621065,7.600981179568876,7.648636341094971,39518,0.0,0.0
1977-05-13,7.6486392780246195,7.67246730598443,7.624812126159668,7.624812126159668,11566,0.0,0.0
1977-05-16,7.624812126159668,7.6486392780246195,7.624812126159668,7.624812126159668,24337,0.0,0.0
1977-05-17,7.624806365881644,7.696288643568964,7.624806365881644,7.67246150970459,29880,0.0,0.0
1977-05-18,7.67246150970459,7.696288643568964,7.648633499746018,7.67246150970459,35422,0.0,0.0
1977-05-19,7.67246150970459,7.743943787391911,7.648633499746018,7.67246150970459,53494,0.0,0.0
1977-05-20,7.720113656957263,7.767767906188966,7.720113656957263,7.767767906188965,19759,0.0,0.0
1977-05-23,7.743944208916952,7.743944208916952,7.672461927338646,7.6962890625,23133,0.0,0.0
1977-05-24,7.696288643568964,7.720116653527535,7.624806365881644,7.67246150970459,23855,0.0,0.0
1977-05-25,7.672461927338646,7.720117073755598,7.648633916083049,7.6962890625,26024,0.0,0.0
1977-05-26,7.696288643568964,7.696288643568964,7.624806365881644,7.67246150970459,14217,0.0,0.0
1977-05-27,7.67246730598443,7.67246730598443,7.624812126159668,7.624812126159668,15904,0.0,0.0
1977-05-31,7.624807402499085,7.624807402499085,7.505669964791695,7.577152252197266,28916,0.0,0.0
1977-06-01,7.577150289873862,7.624805427833998,7.55332228284675,7.600977420806885,14699,0.0,0.0
1977-06-02,7.600981179568876,7.648636341094971,7.5771540368530905,7.648636341094971,30120,0.0,0.0
1977-06-03,7.648633499746018,7.67246150970459,7.624806365881644,7.67246150970459,26506,0.0,0.0
1977-06-06,7.672462536107183,7.672462536107183,7.529497085512789,7.553324222564697,35663,0.0,0.0
1977-06-07,7.553328918375095,7.6486392780246195,7.529501766510143,7.624812126159668,43373,0.0,0.0
1977-06-08,7.624805427833998,7.648632558767021,7.577150289873862,7.600977420806885,25542,0.0,0.0
1977-06-09,7.6009840981998575,7.624812126159668,7.577156946334905,7.624812126159668,14458,0.0,0.0
1977-06-10,7.624812126159668,7.624812126159668,7.577156946334905,7.624812126159668,11566,0.0,0.0
1977-06-13,7.624812126159668,7.624812126159668,7.577156946334905,7.624812126159668,13976,0.0,0.0
1977-06-14,7.624812126159668,7.624812126159668,7.529501766510143,7.624812126159668,16386,0.0,0.0
1977-06-15,7.624807402499085,7.624807402499085,7.553324238999199,7.577152252197266,19759,0.0,0.0
1977-06-16,7.5771522521972665,7.5771522521972665,7.505669964791695,7.577152252197266,73735,0.0,0.0
1977-06-17,7.577150289873862,7.600977420806886,7.55332228284675,7.600977420806885,40482,0.0,0.0
1977-06-20,7.600979389301018,7.600979389301018,7.529497101895447,7.577152252197266,14699,0.0,0.0
1977-06-21,7.5771522521972665,7.624807402499085,7.5771522521972665,7.577152252197266,33012,0.0,0.0
1977-06-22,7.577150289873862,7.600977420806886,7.55332228284675,7.600977420806885,16386,0.0,0.0
1977-06-23,7.6009840981998575,7.624812126159668,7.577156946334905,7.624812126159668,20241,0.0,0.0
1977-06-24,7.624812126159668,7.6486392780246195,7.577156946334905,7.624812126159668,47229,0.0,0.0
1977-06-27,7.624807402499085,7.6486345396028375,7.5771522521972665,7.577152252197266,22410,0.0,0.0
1977-06-28,7.5771522521972665,7.600979389301018,7.5771522521972665,7.577152252197266,19759,0.0,0.0
1977-06-29,7.577156946334905,7.624812126159668,7.505674614645191,7.624812126159668,16386,0.0,0.0
1977-06-30,7.624805427833998,7.624805427833998,7.600977420806886,7.600977420806885,46506,0.0,0.0
1977-07-01,7.624806365881644,7.67246150970459,7.624806365881644,7.67246150970459,22169,0.0,0.0
1977-07-05,7.672461927338646,7.720117073755598,7.648633916083049,7.6962890625,27952,0.0,0.0
1977-07-06,7.743941307067871,7.791596435627251,7.743941307067871,7.743941307067871,24337,0.0,0.0
1977-07-07,7.743944069349893,7.815426349639893,7.743944069349893,7.815426349639893,46747,0.0,0.0
1977-07-08,7.815426349639893,7.839254360466045,7.767771204081817,7.815426349639893,20482,0.0,0.0
1977-07-11,7.815425835967633,7.863080978393554,7.791598702801758,7.863080978393555,23133,0.0,0.0
1977-07-12,7.863080978393554,7.8869089876536,7.815425835967633,7.863080978393555,33976,0.0,0.0
1977-07-13,7.863084801876791,7.88691282272339,7.839257657124791,7.886912822723389,22651,0.0,0.0
1977-07-15,7.88691282272339,7.91073996747539,7.863084801876791,7.886912822723389,27229,0.0,0.0
1977-07-18,7.815423561859983,7.815423561859983,7.696286178508491,7.743941307067871,19036,0.0,0.0
1977-07-19,7.743943560375837,7.863080978393554,7.743943560375837,7.863080978393555,19759,0.0,0.0
1977-07-20,7.863084733497464,7.934567919321025,7.863084733497464,7.910739898681641,36867,0.0,0.0
1977-07-21,7.910738891481452,7.9583940505981445,7.910738891481452,7.9583940505981445,23855,0.0,0.0
1977-07-22,7.934569014328511,7.934569014328511,7.839258670806885,7.839258670806885,30602,0.0,0.0
1977-07-25,7.839253845227679,7.8869089876536,7.839253845227679,7.863080978393555,53494,0.0,0.0
1977-07-26,7.863084801876791,7.91073996747539,7.839257657124791,7.886912822723389,19277,0.0,0.0
1977-07-27,7.8869089876536,7.934564130079521,7.839253845227679,7.863080978393555,15904,0.0,0.0
1977-07-28,7.863086366628784,7.863086366628784,7.767776016464855,7.791604042053223,39277,0.0,0.0
1977-07-29,7.791596435627251,7.839251564186632,7.696286178508491,7.743941307067871,34458,0.0,0.0
1977-08-01,7.743941835806371,7.791596967619534,7.720114707946778,7.720114707946777,31807,0.0,0.0
1977-08-02,7.7201141808351395,7.743941307067871,7.67245905227576,7.743941307067871,17349,0.0,0.0
1977-08-03,7.743940781573114,7.791595906898673,7.672458531631704,7.767767906188965,19518,0.0,0.0
1977-08-04,7.7677754751183095,7.839258670806885,7.743948327285258,7.839258670806885,20482,0.0,0.0
1977-08-05,7.8392552422909665,7.934565544128417,7.81542722878444,7.934565544128418,21205,0.0,0.0
1977-08-08,7.934564130079521,7.934564130079521,7.863080978393554,7.863080978393555,18072,0.0,0.0
1977-08-09,7.863078690419363,7.886906692746011,7.743941307067871,7.743941307067871,19277,0.0,0.0
1977-08-10,7.743943560375837,7.863080978393554,7.743943560375837,7.863080978393555,17349,0.0,0.0
1977-08-11,7.863086366628784,7.934569567299118,7.791604042053223,7.791604042053223,25542,0.0,0.0
1977-08-12,7.791596435627251,7.791596435627251,7.7201141808351395,7.743941307067871,10120,0.0,0.0
1977-08-15,7.743943787391911,7.767770921256285,7.577151222058697,7.67246150970459,12771,0.0,0.0
1977-08-16,7.5533269311141344,7.5533269311141344,7.3627071380615225,7.362707138061523,15181,0.0,0.0
1977-08-17,7.291220188140868,7.291220188140868,7.124427636739646,7.291220188140869,46506,0.0,0.0
